content,metadata
"根据《中华人民共和国合同法》，合同的订立应当遵循自愿、平等、公平、诚实信用的原则。","{\"category\":\"contract_law\",\"source\":\"中华人民共和国合同法\",\"answer\":\"合同订立需遵循四项基本原则\",\"role\":\"legal\"}"
"商标注册的有效期为10年，自核准注册之日起计算。注册商标有效期满，需要继续使用的，商标注册人应当在期满前12个月内按照规定办理续展手续。","{\"category\":\"trademark_law\",\"source\":\"中华人民共和国商标法\",\"answer\":\"商标注册有效期及续展要求\",\"role\":\"legal\"}"
"著作权自作品创作完成之日起产生。作品可以不经登记即可获得保护，但是进行著作权登记有利于在权利纠纷发生时举证。","{\"category\":\"copyright_law\",\"source\":\"中华人民共和国著作权法\",\"answer\":\"著作权保护及登记建议\",\"role\":\"legal\"}"
"企业经营必须取得营业执照，无照经营将被处以罚款，情节严重的将被责令停业。","{\"category\":\"business_license\",\"source\":\"中华人民共和国公司法\",\"answer\":\"企业经营需取得营业执照\",\"role\":\"legal\"}"
"电子商务经营者应当全面、真实、准确、及时地披露商品或者服务信息，保障消费者的知情权和选择权。","{\"category\":\"ecommerce_law\",\"source\":\"中华人民共和国电子商务法\",\"answer\":\"电商经营者信息披露义务\",\"role\":\"legal\"}"
"经营者收集、使用消费者个人信息，应当遵循合法、正当、必要的原则，明示收集、使用信息的目的、方式和范围。","{\"category\":\"consumer_protection\",\"source\":\"中华人民共和国消费者权益保护法\",\"answer\":\"消费者个人信息保护要求\",\"role\":\"legal\"}"
"网络交易平台经营者应当建立健全信用评价制度，公示信用评价规则，提供对商品或者服务进行评价的途径。","{\"category\":\"platform_regulation\",\"source\":\"网络交易监督管理办法\",\"answer\":\"平台信用评价制度要求\",\"role\":\"legal\"}"
"经营者发布广告应当真实、合法，不得含有虚假或者引人误解的内容，不得欺骗、误导消费者。","{\"category\":\"advertising_law\",\"source\":\"中华人民共和国广告法\",\"answer\":\"广告发布规范要求\",\"role\":\"legal\"}"
"经营者应当建立并执行商品质量检验制度，不得销售不符合保障人身、财产安全要求的商品。","{\"category\":\"product_quality\",\"source\":\"中华人民共和国产品质量法\",\"answer\":\"商品质量管理要求\",\"role\":\"legal\"}"
"经营者采用网络、电视、电话、邮购等方式销售商品，消费者有权自收到商品之日起七日内退货，且无需说明理由。","{\"category\":\"distance_selling\",\"source\":\"中华人民共和国消费者权益保护法\",\"answer\":\"无理由退货规定\",\"role\":\"legal\"}"
"经营者应当妥善保存交易信息记录和日志等数据，保存时间自交易完成之日起不少于三年。","{\"category\":\"data_retention\",\"source\":\"网络交易监督管理办法\",\"answer\":\"交易信息保存要求\",\"role\":\"legal\"}"
"从事跨境电子商务的经营者应当依法办理海关注册登记，履行纳税义务，遵守进出口监管相关规定。","{\"category\":\"cross_border_trade\",\"source\":\"跨境电子商务零售进出口商品监管办法\",\"answer\":\"跨境电商经营要求\",\"role\":\"legal\"}"
"经营者应当建立完善的售后服务制度，明确售后服务责任，并向消费者提供符合承诺的售后服务。","{\"category\":\"after_sales_service\",\"source\":\"中华人民共和国消费者权益保护法\",\"answer\":\"售后服务制度要求\",\"role\":\"legal\"}"
"经营者收集、使用个人信息，应当公开收集、使用规则，明示收集、使用信息的目的、方式和范围。","{\"category\":\"privacy_protection\",\"source\":\"中华人民共和国个人信息保护法\",\"answer\":\"个人信息收集使用规范\",\"role\":\"legal\"}"
"网络交易平台经营者对平台内经营者的资质资格、基本信息进行核验和登记，建立登记档案并定期核验更新。","{\"category\":\"platform_management\",\"source\":\"电子商务平台管理办法\",\"answer\":\"平台经营者管理职责\",\"role\":\"legal\"}"
